Timestamp,Bandwidth Value,Downtime (raw),Coverage (raw),Sensor ID,Start Time,End Time
45656.47917,7776.6667,0.0,10000,1,12/30/2024 13:00:00,13:30:00
45656.45833,7792.8333,0.0,10000,1,12/30/2024 12:30:00,13:00:00
45656.4375,7764.3333,0.0,10000,1,12/30/2024 12:00:00,12:30:00
45656.41667,7859.2,0.0,10000,1,12/30/2024 11:30:00,12:00:00
45656.39583,7843.7667,0.0,10000,1,12/30/2024 11:00:00,11:30:00
45656.375,7829.5333,0.0,10000,1,12/30/2024 10:30:00,11:00:00
45656.35417,7696.4,0.0,10000,1,12/30/2024 10:00:00,10:30:00
45656.33333,7725.1667,0.0,10000,1,12/30/2024 09:30:00,10:00:00
45656.3125,7695.9667,0.0,10000,1,12/30/2024 09:00:00,09:30:00
45656.29167,7634.5333,0.0,10000,1,12/30/2024 08:30:00,09:00:00
45656.27083,7516.6333,0.0,10000,1,12/30/2024 08:00:00,08:30:00
45656.25,7517.1667,0.0,10000,1,12/30/2024 07:30:00,08:00:00
45656.22917,7484.8333,0.0,10000,1,12/30/2024 07:00:00,07:30:00
45656.20833,7444.2333,0.0,10000,1,12/30/2024 06:30:00,07:00:00
45656.1875,7289.6,0.0,10000,1,12/30/2024 06:00:00,06:30:00
45656.16667,7227.2333,0.0,10000,1,12/30/2024 05:30:00,06:00:00
45656.14583,7165.7,0.0,10000,1,12/30/2024 05:00:00,05:30:00
45656.125,7144.3333,0.0,10000,1,12/30/2024 04:30:00,05:00:00
45656.10417,7135.4,0.0,10000,1,12/30/2024 04:00:00,04:30:00
45656.08333,7092.7333,0.0,10000,1,12/30/2024 03:30:00,04:00:00
45656.0625,7111.5,0.0,10000,1,12/30/2024 03:00:00,03:30:00
45656.04167,7181.7667,0.0,10000,1,12/30/2024 02:30:00,03:00:00
45656.02083,7215.6333,0.0,10000,1,12/30/2024 02:00:00,02:30:00
45656.0,7345.7333,0.0,10000,1,12/30/2024 01:30:00,02:00:00
45655.97917,7378.3,0.0,10000,1,12/30/2024 01:00:00,01:30:00
45655.95833,7410.7333,0.0,10000,1,12/30/2024 00:30:00,01:00:00
